Log file produced by: Storyboard Pro (StoryboardPro.exe) version 17.10.1 build 15476 2020-01-31 14:58:30
﻿2020-09-22 22:20:47;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:47;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:47;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:47;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:48;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:48;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:49;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:49;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:49;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:49;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:49;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:49;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:50;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:50;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:50;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:50;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:50;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:50;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:51;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:51;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:51;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:51;ACTION;end accum (CO_CommandManager.cpp,325)
